T01001	hsa	Homo sapiens (human)	Eukaryotes;Animals;Vertebrates;Mammals
T03146	sauq	Staphylococcus aureus subsp. aureus ST228/16035 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03147	sauv	Staphylococcus aureus subsp. aureus ST228/18412 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03148	sauw	Staphylococcus aureus subsp. aureus ST228/16125 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03149	saux	Staphylococcus aureus subsp. aureus ST228/18341 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03150	sauy	Staphylococcus aureus subsp. aureus ST228/18583 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03492	sauf	Staphylococcus aureus subsp. aureus FDAARGOS_5	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T00303	sab	Staphylococcus aureus RF122	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02070	suy	Staphylococcus aureus 04-02981 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02339	saub	Staphylococcus aureus 08BA02176 (LA-MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02618	saum	Staphylococcus aureus M1 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02702	sauc	Staphylococcus aureus CA-347 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T02717	saur	Staphylococcus aureus Bmb9393 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03115	saui	Staphylococcus aureus USA300-ISMMS1 (MRSA)	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T03491	saud	Staphylococcus aureus 502A	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T04800	sams	Staphylococcus aureus MS4	Prokaryotes;Bacteria;Firmicutes - Bacilli;Staphylococcus
T00035	pae	Pseudomonas aeruginosa PAO1	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T03097	paev	Pseudomonas aeruginosa PAO1-VE13	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T03170	paei	Pseudomonas aeruginosa PAO1-VE2	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T00401	pau	Pseudomonas aeruginosa UCBPP-PA14	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T00569	pap	Pseudomonas aeruginosa PA7	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T00818	pag	Pseudomonas aeruginosa LESB58	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
T01973	paf	Pseudomonas aeruginosa M18	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Pseudomonas
